Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
43,Arae,Zarzosa,20-Sep-14,"500 W. University Ave, El Paso, TX 79968",1994.56,1042,4248.79,2042,4248.79,-268.92,8629,-268.92
5,Pluto,Disney,20-Mar-37,"1313 Disneyland Dr, Anaheim, CA 92802",1549.67,1004,1622.73,2004,1622.73,-1289.68,5415,-1289.68
17,Buzz,Lightyear,12-Mar-63,"1313 Disneyland Dr, Anaheim, CA 92802",629.61,1016,33.53,2016,33.53,-1215.99,3624,-1215.99
51,Ervey,Montes,5-Mar-59,"500 W. University Ave, El Paso, TX 79968",1584.85,1050,1304.98,2050,1304.98,-677.71,5439,-677.71
37,Alberto,Miranda,5-Oct-38,"500 W. University Ave, El Paso, TX 79968",474.59,1036,3710.89,2036,3710.89,-150.6,3649,-150.6
9,Ariel,Disney,15-Apr-70,"1313 Disneyland Dr, Anaheim, CA 92802",1581.97,1008,729.5,2008,729.5,-1810.55,7822,-1810.55
64,Laura,Blanco,7-Aug-04,"500 W. University Ave, El Paso, TX 79968",1506.74,1063,4347.22,2063,4347.22,-1050.73,6487,-1050.73
72,Robert,Evans,8-Aug-55,"500 W. University Ave, El Paso, TX 79968",1223.55,1071,2907.59,2071,2907.59,-329.08,5198,-329.08
33,Hercules,Disney,30-Jun-66,"1313 Disneyland Dr, Anaheim, CA 92802",1270.03,1032,1388.27,2032,1388.27,-1855.19,5094,-1855.19
75,Yulianna,Torres,20-Aug-92,"500 W. University Ave, El Paso, TX 79968",1035.19,1074,3391.57,2074,3391.57,-1545.62,5431,-1545.62
54,Gavin,Baechle,16-Sep-58,"500 W. University Ave, El Paso, TX 79968",1734.37,1053,4768.87,2053,4768.87,-886.85,5352,-886.85
39,Alfonso,Beltran,13-Mar-01,"500 W. University Ave, El Paso, TX 79968",474.39,1038,3447.36,2038,3447.36,-866.29,3177,-866.29
20,Beast,Disney,16-Aug-98,"1313 Disneyland Dr, Anaheim, CA 92802",1849.03,1019,4398.81,2019,4398.81,-160.2,7687,-160.2
28,Kaa,Disney,22-Feb-69,"1313 Disneyland Dr, Anaheim, CA 92802",928.76,1027,423.8,2027,423.8,-864.26,3237,-864.26
4,Goofy,Disney,5-Mar-51,"1313 Disneyland Dr, Anaheim, CA 92802",1456.69,1003,884.26,2003,884.26,-141.39,8647,-141.39
32,Quasimodo,Disney,17-Sep-71,"1313 Disneyland Dr, Anaheim, CA 92802",483.57,1031,2302.79,2031,2302.79,-1454.15,5023,-1454.15
71,Oscar,Decena,14-Nov-07,"500 W. University Ave, El Paso, TX 79968",1450.22,1070,529.74,2070,529.74,-689.71,8674,-689.71
24,Simba,King,21-Dec-35,"1313 Disneyland Dr, Anaheim, CA 92802",1472.05,1023,1684.46,2023,1684.46,-1863.46,8835,-1863.46
68,Manuel,Ruvalcaba,30-Dec-42,"500 W. University Ave, El Paso, TX 79968",870.6,1067,1038.13,2067,1038.13,-326.57,5787,-326.57
21,Belle,Disney,5-Oct-54,"1313 Disneyland Dr, Anaheim, CA 92802",517.81,1020,2434.75,2020,2434.75,-1024.19,8396,-1024.19
27,Captaiin,Hook,12-May-01,"1313 Disneyland Dr, Anaheim, CA 92802",369.27,1026,3295.28,2026,3295.28,-1813.88,9203,-1813.88
69,Mauricio,Ornelas-Gutierrez,7-Aug-36,"500 W. University Ave, El Paso, TX 79968",192.14,1068,1218.43,2068,1218.43,-1129.63,6395,-1129.63
41,Alyssandra,Cordero,30-Aug-32,"500 W. University Ave, El Paso, TX 79968",1169.49,1040,1375.06,2040,1375.06,-1725.64,5166,-1725.64
67,Manuel,Melendez Lujan,18-Mar-36,"500 W. University Ave, El Paso, TX 79968",1311.35,1066,4334.35,2066,4334.35,-1003.98,7545,-1003.98
47,Dafne,Bencomo,12-Jul-72,"500 W. University Ave, El Paso, TX 79968",519.88,1046,1812.87,2046,1812.87,-1863.49,8798,-1863.49
